order_number;sku_id;quantity;price
2999140;35156;2;146
2999140;53048;1;144
2999141;33911;1;254
2999141;34077;3;385
2999141;55686;2;109
2999141;59840;1;241
2999141;64506;3;466
2999142;23768;1;497
2999142;40879;5;71
2999142;43747;1;86
2999142;60804;2;122
2999142;69486;1;316
2999143;24007;2;266
2999143;46031;3;129
2999143;46626;1;435
2999143;61770;3;46
2999143;64748;8;167
2999144;26462;3;340
2999144;33956;3;278
2999144;45519;3;275
2999144;66543;2;431
2999144;67787;2;154
2999145;66481;1;38
2999146;47291;8;88
2999146;58484;9;36
2999146;60924;2;227
2999146;61454;7;93
2999147;37194;2;32
2999147;61994;3;20
2999148;45070;2;105
2999148;47716;2;272
2999148;50356;1;119
2999148;65356;1;218
2999148;69403;1;358
2999149;57724;2;41
2999150;30319;3;355
2999150;60832;1;461
2999151;53480;1;432
2999151;60932;2;391
2999152;20535;2;264
2999153;23718;1;373
2999153;40260;2;83
2999153;49491;6;180
2999153;68501;2;452
2999154;24173;9;340
2999154;30514;5;401
2999155;30241;2;408
2999155;68994;2;159
2999156;37599;2;41
2999156;47720;2;327
2999156;52587;1;46
2999156;58973;1;227
2999157;24842;9;397
2999157;42343;1;114
2999157;48360;7;175
2999157;66788;1;220
2999158;23658;3;380
2999158;35963;1;356
2999158;38394;3;224
2999158;45754;9;164
2999158;62102;5;217
2999159;43249;3;286
2999159;44733;1;151
2999159;46566;1;307
2999160;22000;4;217
2999160;34797;1;225
2999160;60580;1;147
2999161;21346;2;46
2999161;22447;8;332
2999162;25580;1;212
2999162;51168;3;323
2999162;60376;1;486
2999162;61929;2;373
2999162;69890;2;133
2999163;28390;1;105
2999163;54143;4;107
2999163;60475;4;110
2999163;61399;1;455
2999164;42319;1;363
2999165;20164;8;123
2999165;21341;3;446
2999165;49368;1;243
2999165;56649;3;430
2999165;56995;3;357
2999166;68789;2;199
2999167;41083;1;227
2999167;59638;7;38
2999167;61244;3;251
2999167;64602;8;76
2999168;26177;6;388
2999168;29584;2;105
2999168;56798;1;325
2999168;62218;3;134
2999169;36887;1;256
2999169;47039;3;249
2999169;55835;3;188
2999169;62740;1;349
2999169;65680;2;419
2999170;30743;1;51
2999170;52274;2;153
2999170;65691;9;225
2999171;29155;7;166
2999171;29181;4;453
2999171;56360;2;259
2999171;66975;2;31
2999172;34249;7;194
2999172;50856;3;124
2999172;62347;9;493
2999172;64334;3;224
2999172;69799;3;393
2999173;46467;2;258
2999173;48452;1;78
2999173;48754;3;278
2999173;65671;2;95
2999174;63416;5;489
2999174;67542;2;163
2999175;30422;3;368
2999175;34817;2;50
2999175;45861;2;184
2999175;50064;1;177
2999176;22202;1;376
2999176;27576;1;359
2999176;43717;3;96
2999177;39968;2;232
2999177;60332;2;118
2999177;68336;3;339
2999178;23106;2;144
2999179;23813;2;121
2999179;30340;2;33
2999179;49094;3;356
2999179;55686;1;109
2999179;64912;1;63
2999180;20375;3;343
2999180;33019;3;456
2999180;43096;2;214
2999180;55215;1;196
2999181;20094;2;118
2999181;60651;4;351
2999181;61929;5;373
2999182;63240;2;54
2999183;22931;1;54
2999183;33168;5;423
2999183;38768;8;440
2999183;66494;1;238
2999183;69033;1;93
2999184;30102;1;57
2999184;49360;2;458
2999185;48437;3;217
2999185;65096;2;171
2999185;65928;2;468
2999186;20451;4;492
2999186;32228;9;183
2999186;35916;1;352
2999186;45553;5;301
2999186;46300;3;58
2999187;27179;1;112
2999187;42347;3;353
2999188;40045;3;166
2999188;40056;2;496
2999188;50896;2;44
2999188;57773;1;23
2999188;65762;1;95
2999189;24711;8;37
2999189;35746;2;117
2999190;68712;2;416
2999191;43245;1;99
2999192;36858;2;30
2999192;63942;6;314
2999193;25950;8;157
2999193;30263;9;277
2999193;47196;3;397
2999194;45783;3;206
2999194;48337;1;147
2999194;62147;1;273
2999194;66414;2;88
2999194;67095;3;36
2999195;60028;3;445
2999195;61111;3;59
2999196;56674;5;402
2999197;30591;3;225
2999197;39628;2;191
2999197;48208;1;411
2999197;60598;3;251
2999198;47171;1;244
2999199;26427;1;392
2999199;34520;2;133
2999199;37722;8;26
2999199;49600;7;241
2999199;56590;9;331
2999200;32041;1;328
2999200;41236;7;221
2999200;57025;2;229
2999200;66817;1;170
2999201;48080;3;476
2999201;57427;3;346
2999201;58807;2;89
2999201;62260;2;128
2999202;27925;2;402
2999202;38012;8;166
2999202;64532;1;488
2999203;54214;3;185
2999203;66150;1;486
2999204;31392;2;206
2999204;36462;2;412
2999204;37063;2;66
2999204;46449;3;362
2999205;35744;3;150
2999205;36882;2;388
2999205;38953;3;219
2999205;65499;3;191
2999206;52653;2;120
2999207;21615;2;393
2999207;45247;1;42
2999208;41315;2;108
2999208;53418;3;356
2999209;29428;2;170
2999209;30792;3;284
2999209;37011;2;124
2999209;48520;3;443
2999210;30485;1;291
2999210;44158;3;255
2999210;54368;2;211
2999210;61298;5;289
2999211;36662;3;142
2999211;51820;1;62
2999211;55034;3;50
2999211;56227;2;150
2999211;61948;7;269
2999212;54510;2;114
2999212;66677;6;149
2999213;32893;3;358
2999213;38787;1;71
2999213;45290;6;260
2999213;45759;6;406
2999213;46608;2;41
2999214;59795;2;431
2999215;22513;3;191
2999215;39055;2;87
2999215;50686;3;258
2999216;20028;1;423
2999216;46343;2;354
2999216;52346;9;71
2999216;52875;3;278
2999217;44390;1;76
2999217;54209;4;147
2999217;54303;2;74
2999218;32827;1;422
2999219;21371;9;451
2999219;37124;3;403
2999219;66157;1;173
2999219;69473;1;262
2999220;50044;3;63
2999220;60001;2;165
2999220;67864;1;403
2999221;25224;2;349
2999222;24736;1;24
2999222;31555;1;387
2999222;53646;1;129
2999223;42731;1;192
2999224;28008;1;412
2999224;28718;3;100
2999224;34530;3;54
2999224;40390;3;118
2999224;62837;2;39
2999225;27843;2;480
2999225;55687;3;164
2999226;31972;1;55
2999226;47004;2;140
2999226;48494;1;31
2999226;53033;3;285
2999226;68718;3;129
2999227;25497;2;150
2999227;40215;2;222
2999227;65102;9;305
2999228;20602;9;295
2999228;27396;1;108
2999228;28467;3;262
2999228;31064;9;437
2999228;55615;3;410
2999229;69801;2;450
2999230;29652;9;37
2999230;44711;1;237
2999230;52772;3;111
2999230;54121;6;416
2999231;22711;3;96
2999231;27659;2;353
2999231;50809;9;46
2999231;67477;2;323
2999232;39189;1;332
2999232;41353;3;99
2999232;44514;9;86
2999232;48465;3;227
2999233;35688;3;412
2999233;39793;3;194
2999233;51792;2;93
2999233;67574;5;463
2999234;53099;2;62
2999234;64832;1;316
2999235;28645;7;356
2999235;34190;3;149
2999235;51219;8;302
2999235;53807;3;275
2999235;62101;4;143
2999236;34891;1;364
2999236;39643;1;481
2999236;61581;3;132
2999236;64746;3;380
2999237;68753;1;184
2999238;33022;2;41
2999238;56852;2;292
2999238;58542;8;342
2999238;60352;9;32
2999238;64975;3;245
2999239;56172;3;161
2999239;65782;1;486
2999239;67443;2;243
2999239;67750;3;56
2999240;30835;2;462
2999240;47819;5;131
2999241;38923;4;350
2999241;68823;1;209
2999242;26222;2;336
2999242;39635;2;351
2999242;51770;2;60
2999242;61698;3;132
2999243;68198;1;192
2999244;31696;3;202
2999244;33142;1;492
2999244;41742;5;474
2999244;58728;9;93
2999245;38836;3;370
2999245;42889;1;100
2999245;47461;3;142
2999246;22652;3;250
2999247;40251;1;226
2999247;42752;2;204
2999247;45470;3;210
2999247;49520;9;51
2999247;63737;1;224
2999248;30832;2;315
2999248;41934;3;253
2999248;47169;2;25
2999248;47274;2;199
2999248;62242;3;27
2999249;53028;1;173
2999249;63619;1;328
2999249;68084;1;319
2999250;39697;1;94
2999250;47346;3;295
2999250;49448;1;419
2999250;51040;1;379
2999251;32744;3;112
2999251;56493;3;59
2999252;27184;4;247
2999252;41375;6;240
2999252;48351;5;493
2999252;61777;1;399
2999253;28892;3;198
2999253;38432;3;194
2999253;42451;5;128
2999254;43531;3;388
2999254;64246;8;132
2999255;49705;6;318
2999255;66375;3;67
2999255;69845;1;42
2999256;21129;9;384
2999256;25563;2;314
2999256;53608;2;42
2999256;56324;3;41
2999257;20094;3;118
2999257;35842;2;387
2999257;60387;8;302
2999258;20674;1;123
2999258;36194;1;24
2999258;60448;1;431
2999258;67963;8;253
2999258;68480;3;38
2999259;67861;1;254
2999260;23592;8;175
2999260;27791;3;21
2999260;40339;2;251
2999261;42682;3;232
2999261;42792;3;177
2999261;51646;2;446
2999261;67078;9;304
2999261;69383;6;467
2999262;38546;2;194
2999262;48995;9;326
2999262;66819;2;143
2999263;23106;8;144
2999263;45767;2;367
2999263;60886;3;200
2999263;61890;3;159
2999264;37305;1;125
2999264;67472;3;422
2999265;59262;4;77
2999266;22447;2;332
2999266;24395;2;478
2999266;26690;1;119
2999266;27331;3;142
2999266;55063;1;28
2999267;52080;1;39
2999267;53900;2;43
2999268;67743;1;24
2999269;25426;1;299
2999269;30295;1;387
2999269;48521;2;264
2999270;21779;3;459
2999270;49162;2;265
2999270;59145;3;420
2999270;66773;1;428
2999271;25296;1;113
2999271;27540;3;171
2999271;29935;2;182
2999271;56929;1;19
2999272;27428;2;334
2999272;56491;3;413
2999272;65722;2;263
2999272;69056;4;148
2999272;69388;3;288
2999273;30027;3;53
2999273;31125;3;98
2999273;32231;1;345
2999273;50836;3;473
2999274;58560;1;89
2999275;43452;3;402
2999275;47610;9;266
2999275;56728;1;449
2999276;24261;5;101
2999276;47201;3;60
2999276;48022;2;270
2999276;54173;3;256
2999277;43963;2;348
2999277;49771;1;402
2999278;23713;1;186
2999278;36871;2;320
2999278;47035;2;111
2999278;60524;1;71
2999278;64860;2;113
2999279;22205;1;249
2999279;44350;2;384
2999280;66597;1;491
2999280;69174;2;167
2999281;37194;1;32
2999281;42262;3;443
2999281;62103;3;273
2999281;63453;1;208
2999282;23009;7;193
2999283;33999;2;368
2999283;41813;1;379
2999283;51143;2;232
2999283;55446;1;436
2999283;68106;2;123
2999284;34982;2;308
2999285;46656;3;61
2999285;51243;2;453
2999285;60163;3;168
2999286;35090;1;435
2999286;41442;7;198
2999286;45829;3;307
2999286;65377;1;388
2999287;48580;7;460
2999287;55161;1;289
2999287;59488;2;381
2999287;60513;6;152
2999287;61459;3;195
2999288;26979;2;328
2999288;33098;1;404
2999288;35684;3;477
2999288;59684;1;457
2999288;63408;2;183
2999289;20884;2;63
2999289;30598;4;176
2999289;45064;1;416
2999289;59027;7;407
2999289;63084;3;362
2999290;26260;3;167
2999290;39807;2;34
2999290;43077;3;54
2999290;61677;1;84
2999291;35542;2;306
2999291;39166;1;253
2999291;54557;1;308
2999291;54969;2;227
2999292;30828;1;173
2999292;33830;1;129
2999292;41225;3;45
2999292;41469;2;445
2999292;67378;2;331
2999293;20826;2;121
2999294;64892;9;447
2999295;29082;3;466
2999295;59187;1;460
2999295;68134;3;383
2999295;69420;1;256
2999296;20590;2;299
2999296;34137;1;485
2999296;48184;9;100
2999297;45741;2;258
2999297;50816;1;390
2999298;32080;7;397
2999298;36948;3;88
2999298;48609;9;394
2999298;51599;2;67
2999299;53186;3;389
2999299;65895;2;84
2999300;23724;2;219
2999300;24300;2;454
2999300;39139;2;115
2999300;56954;4;403
2999300;57303;3;302
2999301;49730;6;226
2999301;50574;3;340
2999301;60593;1;121
2999301;61862;1;123
2999302;23795;2;382
2999303;47978;8;387
2999303;58414;7;66
2999304;20245;1;55
2999304;33115;5;289
2999304;34062;1;385
2999304;58306;5;334
2999305;55565;2;220
2999306;25605;3;301
2999307;21447;7;336
2999307;52928;1;173
2999308;25572;1;105
2999308;50903;2;271
2999308;60570;3;157
2999308;61451;8;189
2999309;21399;3;269
2999309;59382;2;32
2999309;67620;9;310
2999310;49766;9;290
2999310;53617;1;131
2999311;33381;1;288
2999311;39133;3;398
2999311;46572;3;164
2999311;63448;6;255
2999312;39846;1;316
2999312;58872;1;49
2999313;52663;1;300
2999314;26862;9;117
2999314;55363;1;385
2999314;57433;3;392
2999314;69869;8;235
2999315;61352;1;398
2999315;62056;2;302
2999316;21584;3;477
2999316;52692;3;363
2999316;63849;8;20
2999317;21060;3;426
2999317;44207;4;31
2999318;26447;1;165
2999318;59519;1;410
2999318;64538;2;135
2999319;22249;1;164
2999319;31516;3;302
2999319;46723;3;239
2999319;49356;1;472
2999320;28454;8;253
2999320;30647;2;325
2999320;65983;2;497
2999321;29631;1;462
2999321;38033;5;246
2999321;38828;1;452
2999322;51687;6;268
2999322;58138;2;98
2999322;62966;4;74
2999323;21356;3;404
2999323;27869;1;303
2999323;32407;3;47
2999323;56470;4;378
2999323;57648;1;31
2999324;47964;1;376
2999324;69738;3;198
2999325;22084;3;159
2999325;26835;2;56
2999326;20044;2;311
2999326;31644;3;414
2999326;39962;3;304
2999326;43447;2;273
2999326;68135;2;437
2999327;21118;3;280
2999327;27575;2;225
2999327;28100;3;266
2999327;46369;6;440
2999327;65067;1;409
2999328;23400;2;301
2999329;45229;3;234
2999329;65519;1;249
2999330;41319;1;37
2999330;55744;3;261
2999330;61965;1;175
2999330;65581;3;127
2999331;24779;2;226
2999331;41072;3;222
2999331;48030;6;325
2999331;58477;2;220
2999332;28106;1;266
2999332;37229;2;490
2999332;38084;5;389
2999332;53004;1;403
2999333;23664;5;150
2999334;27077;9;450
2999334;42730;3;482
2999334;54319;3;185
2999335;34319;2;152
2999335;36147;1;495
2999335;43013;3;57
2999335;45663;7;456
2999335;67254;3;66
2999336;24799;1;282
2999336;53780;1;149
2999336;58047;9;132
2999336;59361;2;112
2999337;29803;3;415
2999337;39646;1;313
2999337;48837;6;242
2999337;49775;1;474
2999338;21592;2;47
2999338;35504;3;465
2999338;41170;2;180
2999338;45084;3;156
2999338;48131;3;387
2999339;31666;4;357
2999339;36334;2;469
2999339;53789;3;190
2999339;60109;8;103
2999339;65605;3;263
2999340;31187;9;293
2999340;66940;6;134
2999341;33396;3;406
2999341;46723;2;239
2999341;55810;1;403
2999341;62922;3;167
2999341;64457;3;366
2999342;33596;7;197
2999342;55587;1;200
2999342;60815;2;370
2999342;62894;4;216
2999343;33037;6;66
2999343;50637;3;404
2999344;21650;4;139
2999344;25714;3;205
2999344;46342;3;438
2999345;47681;1;281
2999346;29492;8;376
2999346;43036;2;349
2999346;57371;1;195
2999346;60774;1;308
2999347;36247;2;350
2999347;37397;5;379
2999347;40357;2;264
2999347;48595;2;107
2999347;64666;7;266
2999348;20070;3;181
2999348;60876;9;183
2999349;21050;2;28
2999349;39067;2;217
2999349;50935;2;243
2999349;61920;2;317
2999349;68821;3;67
2999350;50246;8;265
2999351;20742;3;390
2999351;31193;3;373
2999351;47454;1;144
2999351;65028;1;444
2999352;23184;1;88
2999352;60197;3;124
2999353;32123;4;412
2999353;32988;3;427
2999353;40759;1;320
2999354;26722;3;301
2999354;36879;2;288
2999354;38618;5;339
2999354;41143;1;275
2999355;25683;1;327
2999356;20047;2;98
2999356;37293;1;151
2999357;50052;2;20
2999357;54058;3;324
2999357;57341;3;227
2999358;28187;2;323
2999358;36917;3;119
2999358;50821;7;343
2999358;68781;2;353
2999359;40468;3;159
2999359;45541;2;413
2999359;49133;2;497
2999359;59080;3;306
2999359;68056;3;29
2999360;28482;3;215
2999360;30204;2;429
2999360;32001;1;410
2999360;36293;2;311
2999360;54486;2;406
2999361;31716;1;404
2999361;31880;3;123
2999361;38628;3;163
2999362;38718;5;355
2999363;21980;2;268
2999363;24115;7;303
2999363;49749;3;107
2999363;58814;3;493
2999364;45722;6;226
2999364;50404;2;95
2999365;36532;7;97
2999365;38031;5;456
2999365;54448;9;219
2999365;58500;1;231
2999365;59365;2;348
2999366;24986;3;349
2999366;33675;6;224
2999366;34411;3;100
2999366;42468;2;322
2999366;64095;1;207
2999367;38105;1;73
2999368;31486;2;497
2999369;33902;1;128
2999369;35927;2;172
2999369;36691;1;60
2999370;25246;7;31
2999370;36426;3;414
2999370;51755;8;184
2999370;64472;2;144
2999370;65376;9;267
2999371;21978;2;285
2999371;31289;5;352
2999371;39673;3;472
2999371;54111;3;76
2999372;60140;3;228
2999373;32716;7;365
2999373;38602;3;421
2999373;55997;7;385
2999374;57002;3;27
2999374;58659;1;332
2999374;67772;3;209
2999375;32603;2;190
2999375;59977;4;295
2999376;20194;1;200
2999376;37643;5;88
2999376;39064;2;61
2999376;39154;3;130
2999376;50565;2;244
2999377;22426;8;62
2999377;38587;2;203
2999377;66665;1;103
2999378;26242;2;46
2999378;50324;2;407
2999378;54639;2;201
2999378;59417;2;110
2999379;28781;2;283
2999379;30073;1;351
2999380;63977;2;331
2999381;47579;5;127
2999381;51595;3;32
2999381;68176;1;186
2999382;59636;3;271
2999382;65358;4;402
2999383;23208;3;209
2999383;36173;1;125
2999383;46430;4;114
2999383;51567;2;65
2999383;66417;3;427
2999384;22388;2;399
2999384;22923;6;203
2999385;21059;7;67
2999385;40886;1;52
2999385;51527;7;422
2999386;53675;1;348
2999387;37904;3;129
2999387;57018;2;480
2999388;29654;4;74
2999388;32432;3;246
2999388;52601;2;328
2999388;59098;1;197
2999389;29573;7;59
2999389;69855;6;434
2999390;25353;1;139
2999390;29683;3;348
2999390;31143;3;171
2999390;34668;8;439
2999390;63148;1;261
2999391;26209;2;355
2999391;42935;2;336
2999392;23213;1;83
2999392;26611;2;336
2999392;28278;3;389
2999392;30887;3;231
2999392;34274;2;227
2999393;24896;6;76
2999393;29012;1;77
2999393;30594;3;75
2999393;49758;1;300
2999393;58342;3;429
2999394;21391;3;283
2999394;51233;4;93
2999394;52263;3;179
2999394;58801;6;454
2999395;26718;1;54
2999395;31681;9;225
2999396;61346;3;170
2999396;61705;1;51
2999396;67415;3;349
2999397;50518;1;498
2999397;51785;1;247
2999397;55404;1;451
2999397;58105;3;132
2999397;60171;2;446
2999398;33722;6;437
2999398;40603;2;224
2999398;53438;2;30
2999398;58633;1;311
2999399;40429;1;248
2999399;42573;3;177
2999400;63173;1;368
2999401;32305;1;90
2999401;34436;2;48
2999401;39008;3;280
2999402;31633;5;334
2999402;41688;6;156
2999402;54314;1;318
2999402;64373;1;394
2999403;21205;3;482
2999404;30490;8;38
2999404;41906;1;44
2999404;58072;1;27
2999404;63114;1;490
2999404;65878;2;461
2999405;41340;3;256
2999405;59741;1;491
2999406;24682;2;327
2999406;29435;2;200
2999407;27972;1;202
2999407;34115;3;145
2999407;42364;1;44
2999407;50630;1;51
2999408;40238;3;94
2999408;59399;3;239
2999409;30413;2;82
2999409;34907;2;309
2999409;58961;2;404
2999409;64446;3;478
2999410;21540;5;364
2999410;35478;3;495
2999410;38390;3;211
2999410;41874;1;464
2999410;46493;1;108
2999411;29362;2;75
2999411;37300;3;251
2999412;39751;9;467
2999412;41671;3;275
2999412;44292;1;421
2999412;54636;2;350
2999412;59323;3;79
2999413;23729;7;128
